count viral_genome
      4 NC_021773.2
      4 NC_020862.2
      4 NC_020205.1
      4 NC_020199.1
      4 NC_019768.1
      4 NC_019715.1
      4 NC_019709.1
      4 NC_019522.1
      4 NC_019507.1
      4 NC_019486.1
      4 NC_015933.1
      4 NC_015266.1
      4 NC_015263.1
      4 NC_015251.1
      4 NC_014636.1
      4 NC_011802.1
      4 NC_010392.1
      4 NC_009643.1
      4 NC_009382.1
      4 NC_007064.1
      4 NC_007046.1
      4 NC_006356.2
      4 NC_003313.1
      4 NC_003309.1
      4 NC_002730.1
      4 NC_001493.2
      3 NC_062763.1
      3 NC_062741.1
      3 NC_055898.1
      3 NC_055881.1
      3 NC_055855.1
      3 NC_055749.1
      3 NC_055734.1
      3 NC_055721.1
      3 NC_055708.1
      3 NC_055040.1
      3 NC_055015.1
      3 NC_055013.1
      3 NC_055010.1
      3 NC_055006.1
      3 NC_054996.1
      3 NC_054994.1
      3 NC_054990.1
      3 NC_054956.1
      3 NC_054940.1
      3 NC_054723.1
      3 NC_052964.1
      3 NC_049856.1
      3 NC_049854.1
      3 NC_049432.1
      3 NC_049380.1
      3 NC_049372.1
      3 NC_049350.1
      3 NC_048737.1
      3 NC_048719.1
      3 NC_048696.1
      3 NC_048681.1
      3 NC_048680.1
      3 NC_048658.1
      3 NC_048639.1
      3 NC_048635.1
      3 NC_048207.1
      3 NC_048102.1
      3 NC_047915.1
      3 NC_047887.1
      3 NC_047813.1
      3 NC_047788.1
      3 NC_047752.1
      3 NC_043520.1
      3 NC_042342.1
      3 NC_042093.1
      3 NC_041971.1
      3 NC_041934.1
      3 NC_041927.1
      3 NC_041920.1
      3 NC_041863.1
      3 NC_031090.1
      3 NC_030917.1
      3 NC_029120.1
      3 NC_029091.1
      3 NC_029015.2
      3 NC_028980.1
      3 NC_028915.1
      3 NC_028888.1
      3 NC_028859.1
      3 NC_028809.1
      3 NC_028701.2
      3 NC_027381.1
      3 NC_025437.1
      3 NC_024203.1
      3 NC_024124.2
      3 NC_023575.1
      3 NC_022914.1
      3 NC_021540.1
      3 NC_021339.1
      3 NC_021321.1
      3 NC_020866.1
      3 NC_020844.1
      3 NC_019917.1
      3 NC_019717.1
      3 NC_019398.1
      3 NC_018836.1
      3 NC_018452.1
      3 NC_018282.1
      3 NC_016435.1
      3 NC_014661.1
      3 NC_013643.1
      3 NC_012743.2
      3 NC_011104.1
      3 NC_010463.1
      3 NC_010391.1
      3 NC_010116.1
      3 NC_009761.3
      3 NC_009234.1
      3 NC_008464.1
      3 NC_007809.1
      3 NC_007603.1
      3 NC_007063.1
      3 NC_004112.1
      3 NC_002687.1
      3 NC_002661.2
      3 NC_002321.1
      2 NC_062771.1
      2 NC_062745.1
      2 NC_062581.1
      2 NC_061451.1
      2 NC_061449.1
      2 NC_061448.1
      2 NC_061447.1
      2 NC_061446.1
      2 NC_061445.1
      2 NC_061444.1
      2 NC_061420.1
      2 NC_061419.1
      2 NC_055911.1
      2 NC_055906.1
      2 NC_055889.1
      2 NC_055861.1
      2 NC_055854.1
      2 NC_055839.1
      2 NC_055827.1
      2 NC_055822.1
      2 NC_055791.1
      2 NC_055740.1
      2 NC_055710.1
      2 NC_055047.1
      2 NC_055046.1
      2 NC_055025.1
      2 NC_055011.1
      2 NC_055007.1
      2 NC_055001.1
      2 NC_054997.1
      2 NC_054992.1
      2 NC_054983.1
      2 NC_054960.1
      2 NC_054957.1
      2 NC_054725.1
      2 NC_054681.1
      2 NC_054680.1
      2 NC_054653.1
      2 NC_054462.1
      2 NC_054455.1
      2 NC_054452.1
      2 NC_054149.1
      2 NC_053515.1
      2 NC_053514.1
      2 NC_053513.1
      2 NC_053510.1
      2 NC_053172.1
      2 NC_052661.1
      2 NC_052654.1
      2 NC_051722.1
      2 NC_051604.1
      2 NC_049978.1
      2 NC_049805.1
      2 NC_049506.1
      2 NC_049500.1
      2 NC_049495.1
      2 NC_049478.1
      2 NC_049473.1
      2 NC_049443.1
      2 NC_049427.1
      2 NC_049394.1
      2 NC_049393.1
      2 NC_049379.1
      2 NC_048855.1
      2 NC_048805.1
      2 NC_048794.1
      2 NC_048788.1
      2 NC_048772.1
      2 NC_048758.1
      2 NC_048750.1
      2 NC_048748.1
      2 NC_048654.1
      2 NC_048653.1
      2 NC_048638.1
      2 NC_048198.1
      2 NC_048192.1
      2 NC_048152.1
      2 NC_048126.1
      2 NC_048109.1
      2 NC_048100.1
      2 NC_048054.1
      2 NC_048009.1
      2 NC_048001.1
      2 NC_047979.1
      2 NC_047818.1
      2 NC_047770.1
      2 NC_047757.1
      2 NC_047750.1
      2 NC_047749.1
      2 NC_042325.1
      2 NC_042120.1
      2 NC_042099.1
      2 NC_042052.1
      2 NC_042051.1
      2 NC_042030.1
      2 NC_042023.1
      2 NC_041998.1
      2 NC_041928.1
      2 NC_041887.1
      2 NC_041860.1
      2 NC_038524.1
      2 NC_031924.1
      2 NC_031903.1
      2 NC_031266.1
      2 NC_031125.1
      2 NC_031099.1
      2 NC_031097.1
      2 NC_031075.1
      2 NC_031045.1
      2 NC_031036.1
      2 NC_031016.1
      2 NC_030948.1
      2 NC_030940.1
      2 NC_030916.1
      2 NC_030902.1
      2 NC_029073.1
      2 NC_029042.1
      2 NC_028976.1
      2 NC_028898.1
      2 NC_028879.1
      2 NC_028857.1
      2 NC_028840.1
      2 NC_028835.1
      2 NC_028830.1
      2 NC_028827.1
      2 NC_028783.1
      2 NC_028770.1
      2 NC_028662.1
      2 NC_028449.1
      2 NC_028108.1
      2 NC_028107.1
      2 NC_028094.1
      2 NC_028093.1
      2 NC_027356.1
      2 NC_026421.1
      2 NC_025444.1
      2 NC_025429.1
      2 NC_025427.1
      2 NC_024711.1
      2 NC_024210.1
      2 NC_024122.1
      2 NC_023744.1
      2 NC_023729.1
      2 NC_023688.1
      2 NC_023572.1
      2 NC_023423.1
      2 NC_022098.1
      2 NC_021560.1
      2 NC_021304.1
      2 NC_021298.1
      2 NC_021246.1
      2 NC_020855.1
      2 NC_020201.1
      2 NC_019489.1
      2 NC_017984.1
      2 NC_016073.1
      2 NC_014637.1
      2 NC_013650.1
      2 NC_013638.1
      2 NC_013288.1
      2 NC_012959.1
      2 NC_011103.1
      2 NC_010956.1
      2 NC_010105.1
      2 NC_009990.1
      2 NC_009889.1
      2 NC_009760.1
      2 NC_009018.1
      2 NC_008201.1
      2 NC_008193.1
      2 NC_007145.2
      2 NC_007056.1
      2 NC_007052.1
      2 NC_007051.1
      2 NC_006144.1
      2 NC_005947.1
      2 NC_005357.1
      2 NC_005284.1
      2 NC_004686.2
      2 NC_004584.1
      2 NC_003389.1
      2 NC_003356.1
      2 NC_003278.1
      2 NC_003059.1
      2 NC_001884.1
      2 NC_001591.1
      2 AC_000006.1
      1 NC_062779.1
      1 NC_062777.1
      1 NC_062775.1
      1 NC_062764.1
      1 NC_062748.1
      1 NC_062742.1
      1 NC_062734.1
      1 NC_055920.1
      1 NC_055900.1
      1 NC_055893.1
      1 NC_055885.1
      1 NC_055878.1
      1 NC_055874.1
      1 NC_055857.1
      1 NC_055843.1
      1 NC_055841.1
      1 NC_055840.1
      1 NC_055825.1
      1 NC_055815.1
      1 NC_055810.1
      1 NC_055809.1
      1 NC_055805.1
      1 NC_055804.1
      1 NC_055799.1
      1 NC_055798.1
      1 NC_055797.1
      1 NC_055796.1
      1 NC_055795.1
      1 NC_055786.1
      1 NC_055785.1
      1 NC_055752.1
      1 NC_055751.1
      1 NC_055739.1
      1 NC_055726.1
      1 NC_055707.1
      1 NC_055048.1
      1 NC_055038.1
      1 NC_055033.1
      1 NC_055032.1
      1 NC_055024.1
      1 NC_055023.1
      1 NC_055022.1
      1 NC_054991.1
      1 NC_054974.1
      1 NC_054958.1
      1 NC_054955.1
      1 NC_054953.1
      1 NC_054946.1
      1 NC_054899.1
      1 NC_054891.1
      1 NC_054726.1
      1 NC_054679.1
      1 NC_054678.1
      1 NC_054656.1
      1 NC_054651.1
      1 NC_054649.1
      1 NC_054646.1
      1 NC_054643.1
      1 NC_054642.1
      1 NC_054640.1
      1 NC_054639.1
      1 NC_054466.1
      1 NC_054463.1
      1 NC_054456.1
      1 NC_054453.1
      1 NC_054450.1
      1 NC_054449.1
      1 NC_054446.1
      1 NC_054146.1
      1 NC_053511.1
      1 NC_053503.1
      1 NC_053243.1
      1 NC_053236.1
      1 NC_052988.1
      1 NC_052987.1
      1 NC_052965.1
      1 NC_052941.1
      1 NC_052662.1
      1 NC_052660.1
      1 NC_052659.1
      1 NC_052658.1
      1 NC_052656.1
      1 NC_052465.1
      1 NC_052463.1
      1 NC_052460.1
      1 NC_052437.1
      1 NC_052431.1
      1 NC_052426.1
      1 NC_052419.1
      1 NC_052417.1
      1 NC_052415.1
      1 NC_051730.1
      1 NC_051728.1
      1 NC_051715.1
      1 NC_051706.1
      1 NC_051697.1
      1 NC_051691.1
      1 NC_051685.1
      1 NC_051682.1
      1 NC_051677.1
      1 NC_051668.1
      1 NC_051651.1
      1 NC_051643.1
      1 NC_051613.1
      1 NC_049917.1
      1 NC_049853.1
      1 NC_049851.1
      1 NC_049850.1
      1 NC_049469.1
      1 NC_049460.1
      1 NC_049456.2
      1 NC_049449.1
      1 NC_049436.1
      1 NC_049430.1
      1 NC_049392.1
      1 NC_049371.1
      1 NC_048877.1
      1 NC_048876.1
      1 NC_048865.1
      1 NC_048814.1
      1 NC_048810.1
      1 NC_048808.1
      1 NC_048798.1
      1 NC_048771.1
      1 NC_048769.1
      1 NC_048765.1
      1 NC_048749.1
      1 NC_048740.1
      1 NC_048720.1
      1 NC_048704.1
      1 NC_048700.1
      1 NC_048670.1
      1 NC_048659.1
      1 NC_048625.1
      1 NC_048196.1
      1 NC_048167.1
      1 NC_048077.1
      1 NC_048053.1
      1 NC_048036.1
      1 NC_048035.1
      1 NC_048033.1
      1 NC_047994.1
      1 NC_047982.1
      1 NC_047950.1
      1 NC_047949.1
      1 NC_047948.1
      1 NC_047902.1
      1 NC_047885.1
      1 NC_047879.1
      1 NC_047878.1
      1 NC_047877.1
      1 NC_047876.1
      1 NC_047859.1
      1 NC_047857.1
      1 NC_047840.1
      1 NC_047839.1
      1 NC_047835.1
      1 NC_047776.1
      1 NC_047762.1
      1 NC_047719.1
      1 NC_047718.1
      1 NC_047714.1
      1 NC_047713.1
      1 NC_043612.1
      1 NC_043521.1
      1 NC_042338.1
      1 NC_042329.1
      1 NC_042324.1
      1 NC_042307.1
      1 NC_042115.1
      1 NC_042097.1
      1 NC_042096.1
      1 NC_042082.1
      1 NC_042055.1
      1 NC_042054.1
      1 NC_042014.1
      1 NC_041999.1
      1 NC_041996.1
      1 NC_041990.1
      1 NC_041986.1
      1 NC_041979.1
      1 NC_041976.1
      1 NC_041953.1
      1 NC_041947.1
      1 NC_041923.1
      1 NC_041922.1
      1 NC_041884.1
      1 NC_041883.1
      1 NC_041882.1
      1 NC_041880.1
      1 NC_041859.1
      1 NC_041834.1
      1 NC_037667.1
      1 NC_037665.1
      1 NC_036594.1
      1 NC_035193.1
      1 NC_034266.1
      1 NC_034265.1
      1 NC_032111.1
      1 NC_031939.1
      1 NC_031926.1
      1 NC_031917.1
      1 NC_031911.1
      1 NC_031281.1
      1 NC_031262.1
      1 NC_031253.1
      1 NC_031251.1
      1 NC_031243.1
      1 NC_031237.1
      1 NC_031233.1
      1 NC_031230.1
      1 NC_031082.1
      1 NC_031078.1
      1 NC_031072.1
      1 NC_031062.2
      1 NC_031061.1
      1 NC_031056.1
      1 NC_031054.1
      1 NC_031052.1
      1 NC_031044.1
      1 NC_031025.1
      1 NC_031022.1
      1 NC_031008.1
      1 NC_031002.1
      1 NC_030913.1
      1 NC_030912.1
      1 NC_029104.1
      1 NC_029098.1
      1 NC_029023.1
      1 NC_029022.1
      1 NC_029002.1
      1 NC_028993.1
      1 NC_028969.1
      1 NC_028959.1
      1 NC_028956.1
      1 NC_028946.1
      1 NC_028944.1
      1 NC_028931.1
      1 NC_028910.1
      1 NC_028892.1
      1 NC_028889.1
      1 NC_028887.1
      1 NC_028883.1
      1 NC_028872.1
      1 NC_028853.1
      1 NC_028846.1
      1 NC_028825.1
      1 NC_028799.1
      1 NC_028779.1
      1 NC_028766.1
      1 NC_028765.1
      1 NC_028759.1
      1 NC_028754.1
      1 NC_028751.1
      1 NC_028672.1
      1 NC_028671.2
      1 NC_028668.1
      1 NC_028663.1
      1 NC_028660.1
      1 NC_028654.1
      1 NC_028092.1
      1 NC_027994.1
      1 NC_027993.1
      1 NC_027982.1
      1 NC_027633.1
      1 NC_027369.1
      1 NC_027360.1
      1 NC_027351.1
      1 NC_027348.2
      1 NC_027337.1
      1 NC_027329.1
      1 NC_027292.1
      1 NC_027196.1
      1 NC_027130.1
      1 NC_026927.1
      1 NC_026923.1
      1 NC_026603.1
      1 NC_026589.1
      1 NC_026588.1
      1 NC_026585.1
      1 NC_025422.1
      1 NC_025115.1
      1 NC_024450.1
      1 NC_024391.1
      1 NC_024368.1
      1 NC_024354.1
      1 NC_024211.1
      1 NC_024147.1
      1 NC_024144.1
      1 NC_024123.1
      1 NC_023865.1
      1 NC_023841.1
      1 NC_023735.1
      1 NC_023697.1
      1 NC_023694.1
      1 NC_023611.1
      1 NC_023561.1
      1 NC_023557.1
      1 NC_023502.1
      1 NC_023005.1
      1 NC_022982.1
      1 NC_022980.1
      1 NC_022979.1
      1 NC_022968.1
      1 NC_021867.1
      1 NC_021806.1
      1 NC_021799.1
      1 NC_021792.1
      1 NC_021556.1
      1 NC_021537.1
      1 NC_021343.1
      1 NC_021332.1
      1 NC_021249.1
      1 NC_021248.1
      1 NC_021062.1
      1 NC_020879.1
      1 NC_020874.1
      1 NC_020841.1
      1 NC_020079.1
      1 NC_019933.2
      1 NC_019910.1
      1 NC_019909.1
      1 NC_019704.1
      1 NC_019485.1
      1 NC_019444.1
      1 NC_019442.1
      1 NC_018856.1
      1 NC_018846.1
      1 NC_018843.1
      1 NC_018275.1
      1 NC_017974.1
      1 NC_016659.1
      1 NC_016657.1
      1 NC_016656.1
      1 NC_016071.1
      1 NC_015937.1
      1 NC_015465.1
      1 NC_015281.1
      1 NC_015264.1
      1 NC_015252.1
      1 NC_015250.1
      1 NC_014765.1
      1 NC_014660.1
      1 NC_014595.1
      1 NC_014260.1
      1 NC_013649.2
      1 NC_012749.1
      1 NC_012741.1
      1 NC_012663.1
      1 NC_012662.1
      1 NC_011291.1
      1 NC_011287.1
      1 NC_010495.1
      1 NC_010191.2
      1 NC_009817.1
      1 NC_009762.3
      1 NC_009604.1
      1 NC_009424.5
      1 NC_009236.1
      1 NC_009231.1
      1 NC_008603.1
      1 NC_008364.1
      1 NC_008208.1
      1 NC_007065.1
      1 NC_007055.1
      1 NC_006552.1
      1 NC_006151.1
      1 NC_005902.1
      1 NC_005893.1
      1 NC_005859.1
      1 NC_005342.2
      1 NC_005282.1
      1 NC_005263.2
      1 NC_005260.1
      1 NC_005069.1
      1 NC_004683.1
      1 NC_004682.2
      1 NC_004587.1
      1 NC_003524.1
      1 NC_003387.1
      1 NC_003085.1
      1 NC_001954.1
      1 NC_001901.1
      1 NC_001875.2
      1 NC_001801.1
      1 NC_001747.1
      1 NC_001731.1
      1 NC_001629.1
      1 NC_001576.1
      1 NC_001555.1
      1 NC_001352.1
      1 AC_000189.1
